Station_levl,测站级别
Station_Name,站名
REGIONCODE,区域代码
Admin_Code_CHN,行政编码
Cnty,区县名
NetCode,站网代码
City,地市名
Town,乡镇名
COUNTRYCODE,国家代码
Town_code,镇编码
Province,省名
Country,国家名称
V_ACODE_4SEARCH,行政编码2
Station_Id_C,区站号(字符)
Lat,纬度
Lon,经度
Alti,测站高度
DATA_ID,资料标识
IYMDHM,入库时间
RYMDHM,收到时间
Query_Time,小时资料检索时间
UPDATE_TIME,更新时间
Datetime,资料时间
D_SOURCE_ID,数据来源
Year,年
Mon,月
Day,日
Station_Id_d,区站号/观测平台标识(数字)
PRS_Sensor_Alti,气压传感器海拔高度
REP_CORR_ID,更正报标志
PRS_Avg,平均气压
PRS_Max,最高本站气压
PRS_Max_OTime,最高本站气压出现时间
PRS_Min,最低本站气压
PRS_Min_OTime,最低本站气压出现时间
PRS_Sea_Avg,平均海平面气压
TEM_Avg,平均气温
TEM_Max,最高气温
TEM_Max_OTime,最高气温出现时间
TEM_Min,最低气温
TEM_Min_OTime,最低气温出现时间
VAP_Avg,平均水气压
RHU_Avg,平均相对湿度
RHU_Min,最小相对湿度
RHU_Min_OTIME,最小相对湿度出现时间
CLO_Cov_Avg,平均总云量
CLO_Cov_Low_Avg,平均低云量
WIN_D_S_10min_Hourly,逐小时10分钟平均能见度?
VIS_Min,最小水平能见度
VIS_Min_OTime,最小水平能见度出现时间
PRE_Max_1h,1小时最大降水量
PRE_Max_1h_OTime,日小时最大降水量出现时间
PRE_Time_2008,20-08时雨量筒观测降水量
PRE_Time_0820,08-20时雨量筒观测降水量
PRE_Time_2020,20-20时降水量
PRE_Time_0808,08-08时降水量
SPRE_Time_2008,20-08时固态降水量
SPRE_Time_0820,08-20时固态降水量
SPRE_Time_2020,20-20时月固态降水量
SPRE_Time_0808,08-08时月固态降水量
EVP,蒸发(小型）
EVP_Big,蒸发(大型)
Snow_Depth,积雪深度
Snow_PRS,雪压
EICE,电线积冰-现象
EICED_NS,电线积冰-南北方向直径
EICET_NS,电线积冰-南北方向厚度
EICEW_NS,电线积冰-南北方向重量
EICED_WE,电线积冰-东西方向直径
EICET_WE,电线积冰-东西方向厚度
EICEW_WE,电线积冰-东西方向重量
WIN_D,风向
WIN_S,风速
WIN_D_2mi_Avg_C,2分钟平均风向(角度)
WIN_S_2mi_Avg,平均2分钟风速
VIS_Avg_10mi_Hourly,逐小时10分钟平均风向风速
WIN_S_10mi_Avg,平均10分钟风速
WIN_D_S_Max,日最大风速的风向(角度)
WIN_S_Max,最大风速
WIN_S_Max_OTime,最大风速出现时间
WIN_D_INST_Max,极大风速的风向(角度)
WIN_S_Inst_Max,极大风速
WIN_S_INST_Max_OTime,极大风速出现时间
GST_Avg,平均地面温度
GST_Max,最高地面温度
GST_Max_Otime,最高地面温度出现时间
GST_Min,最低地面温度
GST_Min_OTime,最低地面温度出现时间
GST_Avg_5cm,平均5cm地温
GST_Avg_10cm,平均10cm地温
GST_Avg_15cm,平均15cm地温
GST_Avg_20cm,平均20cm地温
GST_Avg_40cm,平均40cm地温
GST_Avg_80cm,平均80cm地温
GST_Avg_160cm,平均160cm地温
GST_Avg_320cm,平均320cm地温
FRS_1st_Top,第一冻土层上界值
FRS_1st_Bot,第一冻土层下界值
FRS_2nd_Top,第二冻土层上界值
FRS_2nd_Bot,第二冻土层下界值
SSH,日照时数（直接辐射计算值）
Sunrist_Time,日出时间
Sunset_Time,日落时间
LGST_Avg,平均草面(雪面)温度
LGST_Max,草面(雪面)最高温度
LGST_Max_OTime,草面(雪面)最高温度出现时间
LGST_Min,草面(雪面)最低温度
LGST_Min_OTime,草面(雪面)最低温度出现时间
SCO,地面状态
Rain,雨
PRE_OTime,雨出现时间
Snow,雪
Snow_OTime,雪出现时间
Hail,冰雹
HAIL_OTime,冰雹出现时间
Fog,雾
Fog_OTime,雾出现时间
Mist,轻雾
Dew,露
Frost,霜
Glaze,雨凇
GLAZE_OTime,雨凇出现时间
SoRi,雾凇
SoRi_OTime,雾凇出现时间
DrSnow,吹雪
DrSnow_OTime,吹雪出现时间
SnowSt,雪暴
SnowSt_OTime,雪暴出现时间
Tord,龙卷风
Tord_OTime,龙卷风出现时间
GSS,积雪
ICE,结冰
SaSt,沙尘暴
SaSt_OTime,沙尘暴出现时间
FlSa,扬沙
FlSa_OTime,扬沙出现时间
FlDu,浮尘
FlDu_OTime,浮尘出现时间
Smoke,烟
Haze,霾
DuWhr,尘卷风
IcePri,冰针
Thund,雷暴
THUND_OTime,雷暴出现时间
